,CSF,GM,WM,case,algorithm,time,iterations,init,atlas,atlas_use,model
90,0.0378043902399203,0.8258279200276751,0.7387651218420695,1019,em_tm,60.66129016876221,300,tm,-,-,em
91,0.0001273587909405,0.7980270860071597,0.9343062364610648,1019,em_lp_mni,59.71944832801819,300,lp,mni,-,em
92,0.0001414018818233,0.8259240906651366,0.934305590872406,1019,em_lp_ours,59.550793170928955,300,lp,ours,-,em
93,0.1126580933149112,0.8588185788485576,0.9213076012097684,1019,em_km_af_mni,1.938204765319824,0,km,mni,af,em
94,0.3288861689106487,0.9193912686572666,0.95447196533661,1019,em_km_af_ours,1.8037731647491453,0,km,ours,af,em
95,0.2367328103368712,0.7974022016327796,0.8986963627476936,1019,em_tm_af_mni,0.27315211296081543,0,tm,mni,af,em
96,0.5282632353882594,0.8701790335080322,0.9345767818628904,1019,em_tm_af_ours,0.273115873336792,0,tm,ours,af,em
97,0.0947822303097432,0.8324126749272452,0.9111020598990222,1019,em_tm_lp_af_mni,0.22556376457214355,0,tm,af,lp,em
98,0.2785075461151481,0.8989624766407974,0.9453606451307872,1019,em_tm_lp_af_ours,0.22642040252685547,0,tm,af,lp,em
99,0.0349456144411016,0.8677910515223344,0.930853771064412,1019,em_km_in_mni,44.2708580493927,145,km,mni,in,em
100,0.1233314947600661,0.8988732309120071,0.9429064051218684,1019,em_km_in_ours,27.46703028678894,88,km,ours,in,em
101,0.0349456144411016,0.8677910515223344,0.930853771064412,1019,em_tm_in_mni,26.8970627784729,102,tm,mni,in,em
102,0.1233314947600661,0.8988732309120071,0.9429064051218684,1019,em_tm_in_ours,17.956151008605957,73,tm,ours,in,em
103,0.0,0.8677910515223344,0.930764491141949,1019,em_tm_lp_in_mni,70.02693748474121,300,tm,in,lp,em
104,0.1233314947600661,0.8988732309120071,0.9429064051218684,1019,em_tm_lp_in_ours,18.28382134437561,75,tm,in,lp,em
105,0.2057080170568147,0.8998496929441574,0.8970037165479261,1023,tm,-,-,-,-,-,tm
106,0.5083159640988557,0.7107317376180222,0.788677977490341,1023,lp_ours,-,-,ours,-,-,lp
107,0.4543769665100642,0.6722317278001153,0.7449817693207198,1023,lp_mni,-,-,mni,-,-,lp
108,0.7640018651883322,0.9176362236139008,0.944119521838126,1023,tm+lp_ours,-,-,ours,-,-,tm
109,0.2282783070250143,0.868851605148495,0.9044366237424412,1023,tm+lp_mni,-,-,mni,-,-,tm
110,0.0001883078744076,0.7820506701812482,0.9302164235967222,1023,em_km,85.5996208190918,300,km,-,-,em
111,0.0278203143753466,0.8360600558350153,0.7421787688101924,1023,em_tm,64.51634478569031,300,tm,-,-,em
112,0.0001841959845275,0.8107340892853522,0.9363444074623996,1023,em_lp_mni,64.20230913162231,300,lp,mni,-,em
113,0.0001841959845275,0.8107340892853522,0.9363444074623996,1023,em_lp_ours,64.1727991104126,300,lp,ours,-,em
114,0.0958953346272733,0.8385822365475871,0.904449772260626,1023,em_km_af_mni,3.002945899963379,0,km,mni,af,em
115,0.2,0.8831919179315324,0.9326475344120728,1023,em_km_af_ours,2.967233896255493,0,km,ours,af,em
116,0.2797120509448328,0.8200340487211218,0.8980873508944798,1023,em_tm_af_mni,0.29860925674438477,0,tm,mni,af,em
